state_component, stat, schedule, label_scheme, N, result
all, acc, 1, a, 51142, 0.9299402
all, l2, 1, a, 51142, 0.1262532
all, l2.binary, 1, a, 51142, 0.1298037
all, avgp, 1, a, 51142, 0.9235857
all, neglogp, 1, a, 51142, 0.4911156
all, mrr, 1, a, 51142, 0.9432626
all, update.acc, 1, a, 51142, 0.8437081
all, update.prec, 1, a, 51142, 0.8592167
all, roc.v1_eer, 1, a, 51142, 0.0889680
all, roc.v1_ca05, 1, a, 51142, 0.9021548
all, roc.v1_ca10, 1, a, 51142, 0.9299402
all, roc.v1_ca20, 1, a, 51142, 0.9299402
all, roc.v2_ca05, 1, a, 51142, 0.0000210
all, roc.v2_ca10, 1, a, 51142, 0.0000210
all, roc.v2_ca20, 1, a, 51142, 0.0000210
goal.food, acc, 1, b, 3934, 0.5005084
goal.food, l2, 1, b, 3934, 0.9563121
goal.food, l2.binary, 1, b, 3934, 0.9775411
goal.food, avgp, 1, b, 3934, 0.4915767
goal.food, neglogp, 1, b, 3934, 4.2233709
goal.food, mrr, 1, b, 3934, 0.5463904
goal.food, update.acc, 1, b, 3934, 0.1737844
goal.food, update.prec, 1, b, 3934, 0.8763326
goal.food, roc.v1_eer, 1, b, 3934, 0.5007626
goal.food, roc.v1_ca05, 1, b, 3934, 0.0000000
goal.food, roc.v1_ca10, 1, b, 3934, 0.0000000
goal.food, roc.v1_ca20, 1, b, 3934, 0.0000000
goal.food, roc.v2_ca05, 1, b, 3934, 0.0000000
goal.food, roc.v2_ca10, 1, b, 3934, 0.0000000
goal.food, roc.v2_ca20, 1, b, 3934, 0.0000000
goal.pricerange, acc, 1, b, 3934, 0.7623284
goal.pricerange, l2, 1, b, 3934, 0.4469774
goal.pricerange, l2.binary, 1, b, 3934, 0.4503750
goal.pricerange, avgp, 1, b, 3934, 0.7566086
goal.pricerange, neglogp, 1, b, 3934, 1.8039336
goal.pricerange, mrr, 1, b, 3934, 0.8102440
goal.pricerange, update.acc, 1, b, 3934, 0.2578062
goal.pricerange, update.prec, 1, b, 3934, 0.9669670
goal.pricerange, roc.v1_eer, 1, b, 3934, 0.3243518
goal.pricerange, roc.v1_ca05, 1, b, 3934, 0.0002542
goal.pricerange, roc.v1_ca10, 1, b, 3934, 0.0002542
goal.pricerange, roc.v1_ca20, 1, b, 3934, 0.7173360
goal.pricerange, roc.v2_ca05, 1, b, 3934, 0.0003334
goal.pricerange, roc.v2_ca10, 1, b, 3934, 0.0003334
goal.pricerange, roc.v2_ca20, 1, b, 3934, 0.0003334
goal.name, acc, 1, b, 3934, 0.9773767
goal.name, l2, 1, b, 3934, 0.0446515
goal.name, l2.binary, 1, b, 3934, 0.0447308
goal.name, avgp, 1, b, 3934, 0.9763511
goal.name, neglogp, 1, b, 3934, 0.1836863
goal.name, mrr, 1, b, 3934, 0.9810625
goal.name, update.acc, 1, b, 3934, 0.0000000
goal.name, update.prec, 1, b, 3934, 0.0000000
goal.name, roc.v1_eer, 1, b, 3934, 0.0343162
goal.name, roc.v1_ca05, 1, b, 3934, 0.9773767
goal.name, roc.v1_ca10, 1, b, 3934, 0.9773767
goal.name, roc.v1_ca20, 1, b, 3934, 0.9773767
goal.name, roc.v2_ca05, 1, b, 3934, 0.0002601
goal.name, roc.v2_ca10, 1, b, 3934, 0.0002601
goal.name, roc.v2_ca20, 1, b, 3934, 0.0002601
goal.area, acc, 1, b, 3934, 0.7496187
goal.area, l2, 1, b, 3934, 0.4547564
goal.area, l2.binary, 1, b, 3934, 0.4742579
goal.area, avgp, 1, b, 3934, 0.7311492
goal.area, neglogp, 1, b, 3934, 1.8587117
goal.area, mrr, 1, b, 3934, 0.8023640
goal.area, update.acc, 1, b, 3934, 0.2715034
goal.area, update.prec, 1, b, 3934, 0.9355670
goal.area, roc.v1_eer, 1, b, 3934, 0.2806304
goal.area, roc.v1_ca05, 1, b, 3934, 0.0000000
goal.area, roc.v1_ca10, 1, b, 3934, 0.3657855
goal.area, roc.v1_ca20, 1, b, 3934, 0.7048805
goal.area, roc.v2_ca05, 1, b, 3934, 0.0000000
goal.area, roc.v2_ca10, 1, b, 3934, 0.0000000
goal.area, roc.v2_ca20, 1, b, 3934, 0.0000000
goal.all, acc, 1, b, 15736, 0.7474581
goal.all, l2, 1, b, 15736, 0.4756744
goal.all, l2.binary, 1, b, 15736, 0.4867262
goal.all, avgp, 1, b, 15736, 0.7389214
goal.all, neglogp, 1, b, 15736, 2.0174256
goal.all, mrr, 1, b, 15736, 0.7850153
goal.all, update.acc, 1, b, 15736, 0.7083605
goal.all, update.prec, 1, b, 15736, 0.7777579
goal.all, roc.v1_eer, 1, b, 15736, 0.3145653
goal.all, roc.v1_ca05, 1, b, 15736, 0.0000000
goal.all, roc.v1_ca10, 1, b, 15736, 0.0000000
goal.all, roc.v1_ca20, 1, b, 15736, 0.6936960
goal.all, roc.v2_ca05, 1, b, 15736, 0.0000000
goal.all, roc.v2_ca10, 1, b, 15736, 0.0000000
goal.all, roc.v2_ca20, 1, b, 15736, 0.0000000
goal.joint, acc, 1, b, 3934, 0.3327402
goal.joint, l2, 1, b, 3934, 1.2885736
goal.joint, l2.binary, 1, b, 3934, 1.3357062
goal.joint, avgp, 1, b, 3934, 0.3215539
goal.joint, neglogp, 1, b, 3934, 6.1006233
goal.joint, mrr, 1, b, 3934, 0.3389680
goal.joint, update.acc, 1, b, 3934, 0.1267089
goal.joint, update.prec, 1, b, 3934, 0.3703704
goal.joint, roc.v1_eer, 1, b, 3934, 0.3329944
goal.joint, roc.v1_ca05, 1, b, 3934, 0.0000000
goal.joint, roc.v1_ca10, 1, b, 3934, 0.0000000
goal.joint, roc.v1_ca20, 1, b, 3934, 0.0000000
goal.joint, roc.v2_ca05, 1, b, 3934, 0.0000000
goal.joint, roc.v2_ca10, 1, b, 3934, 0.0000000
goal.joint, roc.v2_ca20, 1, b, 3934, 0.0000000
goal.joint_independent, acc, 1, b, 3934, 0.3327402
goal.joint_independent, l2, 1, b, 3934, 1.1929532
goal.joint_independent, l2.binary, 1, b, 3934, 1.3092560
goal.joint_independent, avgp, 1, b, 3934, 0.3160857
goal.joint_independent, neglogp, 1, b, 3934, 5.6625617
goal.joint_independent, mrr, 1, b, 3934, 0.3827370
goal.joint_independent, update.acc, 1, b, 3934, 0.1267089
goal.joint_independent, update.prec, 1, b, 3934, 0.3703704
